filename,greedy__pace23,adaptiveGreedy__pace23
heuristic_001.hgr,983.0,981.0
heuristic_002.hgr,816.0,816.0
heuristic_003.hgr,1131.0,1127.0
heuristic_004.hgr,1132.0,1127.0
heuristic_005.hgr,1127.0,1127.0
heuristic_006.hgr,1441.0,1441.0
heuristic_007.hgr,1492.0,1492.0
heuristic_008.hgr,1882.0,1875.0
heuristic_009.hgr,2150.0,2140.0
heuristic_010.hgr,2237.0,2241.0
heuristic_011.hgr,2811.0,2801.0
heuristic_012.hgr,2896.0,2886.0
heuristic_013.hgr,3245.0,3231.0
heuristic_014.hgr,4468.0,4451.0
heuristic_015.hgr,5228.0,5221.0
heuristic_016.hgr,6178.0,6160.0
heuristic_017.hgr,5142.0,5126.0
heuristic_018.hgr,9313.0,9295.0
heuristic_019.hgr,9325.0,9329.0
heuristic_020.hgr,4557.0,4535.0
heuristic_021.hgr,7091.0,7081.0
heuristic_022.hgr,6572.0,6570.0
heuristic_023.hgr,9570.0,9536.0
heuristic_024.hgr,10392.0,10364.0
heuristic_025.hgr,5496.0,5485.0
heuristic_026.hgr,8068.0,8065.0
heuristic_027.hgr,9910.0,9876.0
heuristic_028.hgr,10285.0,10236.0
heuristic_029.hgr,14125.0,14120.0
heuristic_030.hgr,11619.0,11595.0
heuristic_031.hgr,4866.0,4846.0
heuristic_032.hgr,10545.0,10542.0
heuristic_033.hgr,15110.0,15011.0
heuristic_034.hgr,15031.0,15031.0
heuristic_035.hgr,13437.0,13221.0
heuristic_036.hgr,16636.0,16527.0
heuristic_037.hgr,20209.0,20191.0
heuristic_038.hgr,14810.0,14512.0
heuristic_039.hgr,18879.0,18879.0
heuristic_040.hgr,17513.0,17455.0
heuristic_041.hgr,21965.0,21962.0
heuristic_042.hgr,8199.0,8121.0
heuristic_043.hgr,11155.0,11117.0
heuristic_044.hgr,8208.0,8123.0
heuristic_045.hgr,1762.0,1755.0
heuristic_046.hgr,19059.0,19022.0
heuristic_047.hgr,19059.0,19022.0
heuristic_048.hgr,19733.0,19639.0
heuristic_049.hgr,18934.0,18923.0
heuristic_050.hgr,14297.0,14276.0
heuristic_051.hgr,15553.0,15494.0
heuristic_052.hgr,22661.0,22645.0
heuristic_053.hgr,23754.0,23717.0
heuristic_054.hgr,23754.0,23717.0
heuristic_055.hgr,17312.0,17124.0
heuristic_056.hgr,25298.0,25298.0
heuristic_057.hgr,26636.0,26574.0
heuristic_058.hgr,20910.0,20998.0
heuristic_059.hgr,26249.0,26235.0
heuristic_060.hgr,28482.0,28448.0
heuristic_061.hgr,20772.0,20607.0
heuristic_062.hgr,27517.0,27372.0
heuristic_063.hgr,14475.0,14461.0
heuristic_064.hgr,23787.0,23656.0
heuristic_065.hgr,35167.0,35110.0
heuristic_066.hgr,24750.0,24572.0
heuristic_067.hgr,22296.0,22296.0
heuristic_068.hgr,28090.0,28060.0
heuristic_069.hgr,29381.0,28694.0
heuristic_070.hgr,28610.0,28285.0
heuristic_071.hgr,8843.0,8843.0
heuristic_072.hgr,27681.0,27382.0
heuristic_073.hgr,20676.0,20676.0
heuristic_074.hgr,33718.0,33171.0
heuristic_075.hgr,27371.0,27033.0
heuristic_076.hgr,49199.0,49150.0
heuristic_077.hgr,51620.0,51588.0
heuristic_078.hgr,39951.0,39924.0
heuristic_079.hgr,22182.0,22104.0
heuristic_080.hgr,54325.0,54270.0
heuristic_081.hgr,46120.0,45726.0
heuristic_082.hgr,57481.0,57174.0
heuristic_083.hgr,34091.0,30563.0
heuristic_084.hgr,44082.0,43592.0
heuristic_085.hgr,58244.0,58164.0
heuristic_086.hgr,60980.0,60980.0
heuristic_087.hgr,46290.0,45703.0
heuristic_088.hgr,59125.0,58974.0
heuristic_089.hgr,60846.0,60128.0
heuristic_090.hgr,50964.0,50934.0
heuristic_091.hgr,50057.0,49911.0
heuristic_092.hgr,68737.0,68615.0
heuristic_093.hgr,900.0,900.0
heuristic_094.hgr,40839.0,40827.0
heuristic_095.hgr,65922.0,65755.0
heuristic_096.hgr,22433.0,22409.0
heuristic_097.hgr,50904.0,50773.0
heuristic_098.hgr,24659.0,24594.0
heuristic_099.hgr,76454.0,76401.0
heuristic_100.hgr,3205.0,3203.0
heuristic_102.hgr,36682.0,36565.0
heuristic_103.hgr,1534.0,1534.0
heuristic_104.hgr,63827.0,62872.0
heuristic_105.hgr,63784.0,62757.0
heuristic_106.hgr,69634.0,68669.0
heuristic_107.hgr,11460.0,11429.0
heuristic_108.hgr,37179.0,34458.0
heuristic_109.hgr,61429.0,61351.0
heuristic_110.hgr,81122.0,80207.0
heuristic_111.hgr,59995.0,59358.0
heuristic_112.hgr,61778.0,60923.0
heuristic_113.hgr,87781.0,87361.0
heuristic_114.hgr,37902.0,36570.0
heuristic_115.hgr,27709.0,27709.0
heuristic_116.hgr,63358.0,61191.0
heuristic_117.hgr,63608.0,61441.0
heuristic_118.hgr,63993.0,61791.0
heuristic_119.hgr,99794.0,99470.0
heuristic_120.hgr,22014.0,21521.0
heuristic_121.hgr,109928.0,109904.0
heuristic_122.hgr,39033.0,38903.0
heuristic_123.hgr,79441.0,78615.0
heuristic_124.hgr,62755.0,62755.0
heuristic_125.hgr,83247.0,82961.0
heuristic_126.hgr,75851.0,75226.0
heuristic_127.hgr,94990.0,94871.0
heuristic_128.hgr,94057.0,93401.0
heuristic_129.hgr,37068.0,37011.0
heuristic_130.hgr,52769.0,49063.0
heuristic_131.hgr,4714.0,4710.0
heuristic_132.hgr,128674.0,128372.0
heuristic_133.hgr,146615.0,146510.0
heuristic_134.hgr,145786.0,145738.0
heuristic_135.hgr,150586.0,150508.0
heuristic_136.hgr,97948.0,93720.0
heuristic_137.hgr,96922.0,92901.0
heuristic_138.hgr,86417.0,85615.0
heuristic_139.hgr,104084.0,103511.0
heuristic_140.hgr,102618.0,97977.0
heuristic_141.hgr,148372.0,148164.0
heuristic_142.hgr,136758.0,136317.0
heuristic_143.hgr,121298.0,120218.0
heuristic_144.hgr,27710.0,27613.0
heuristic_145.hgr,73930.0,73930.0
heuristic_146.hgr,136895.0,135728.0
heuristic_147.hgr,181155.0,180402.0
heuristic_148.hgr,208267.0,208233.0
heuristic_149.hgr,93733.0,93407.0
heuristic_150.hgr,98616.0,98148.0
heuristic_151.hgr,219623.0,219074.0
heuristic_152.hgr,219623.0,219074.0
heuristic_153.hgr,136448.0,136158.0
heuristic_154.hgr,18318.0,18317.0
heuristic_155.hgr,200235.0,194456.0
heuristic_156.hgr,194960.0,188056.0
heuristic_157.hgr,198168.0,192149.0
heuristic_158.hgr,191389.0,182358.0
heuristic_159.hgr,98873.0,98873.0
heuristic_160.hgr,95618.0,94114.0
heuristic_161.hgr,190310.0,190308.0
heuristic_162.hgr,94928.0,94340.0
heuristic_163.hgr,458.0,458.0
heuristic_164.hgr,266611.0,265686.0
heuristic_165.hgr,206939.0,206884.0
heuristic_166.hgr,144656.0,144224.0
heuristic_167.hgr,40318.0,40277.0
heuristic_168.hgr,110459.0,107660.0
heuristic_169.hgr,221222.0,219178.0
heuristic_170.hgr,18049.0,17599.0
heuristic_171.hgr,237530.0,226288.0
heuristic_172.hgr,61656.0,61561.0
heuristic_173.hgr,148243.0,147787.0
heuristic_174.hgr,376125.0,373554.0
heuristic_175.hgr,270859.0,270859.0
heuristic_176.hgr,66879.0,66879.0
heuristic_177.hgr,194857.0,194839.0
heuristic_178.hgr,276746.0,276746.0
heuristic_179.hgr,193524.0,192958.0
heuristic_180.hgr,515340.0,513174.0
heuristic_181.hgr,349434.0,348722.0
heuristic_182.hgr,33563.0,33499.0
heuristic_183.hgr,331544.0,331386.0
heuristic_184.hgr,339734.0,338800.0
heuristic_185.hgr,340794.0,340634.0
heuristic_186.hgr,119173.0,119022.0
heuristic_187.hgr,666476.0,666476.0
heuristic_188.hgr,865902.0,862612.0
heuristic_189.hgr,741023.0,738664.0
heuristic_190.hgr,893644.0,890233.0
heuristic_191.hgr,718017.0,717818.0
heuristic_192.hgr,1150339.0,1143894.0
heuristic_193.hgr,888247.0,888069.0
heuristic_194.hgr,888247.0,888069.0
heuristic_195.hgr,1723847.0,1715496.0
heuristic_196.hgr,1748239.0,1740071.0
heuristic_197.hgr,1565557.0,1551951.0
heuristic_198.hgr,1630101.0,1629873.0
heuristic_199.hgr,1870773.0,1848779.0
heuristic_200.hgr,1829026.0,1809131.0
AVERAGE,151411.58793969848,150402.16582914573
